"","c_chief","c_lcDisagreement","c_lcDispositionDirection","c_issueArea","c_adminActionBool","c_oralArgBool","c_reargBool","c_decisionTime","c_formerCourt","c_caseOriginRegion","c_caseOriginCourt","e_houseMajority","e_senateMajority","e_decisionPresidentParty","e_JCApproval","j_justiceDecisionAgeBand","j_justiceRegion","j_justiceReligion","j_justiceEthnicity","j_justicePresidentParty","j_justiceVotesAppointed","direction"
"30","Rehnquist",0,"Liberal","Criminal Procedure",0,1,0,"31-180 Days",0,"Midwest","Trial Court","Republican","Republican","Democrat","Approve","65+","West","N/A","Caucasian","Republican",">=75%","Conservative"
"31","Rehnquist",0,"Liberal","Criminal Procedure",0,1,0,"31-180 Days",1,"Midwest","Trial Court","Republican","Republican","Democrat","Approve","0-65","Northeast","Catholicism","Caucasian","Republican",">=75%","Conservative"
"32","Rehnquist",0,"Liberal","Criminal Procedure",0,1,0,"31-180 Days",1,"Midwest","Trial Court","Republican","Republican","Democrat","Approve","0-65","West","Catholicism","Caucasian","Republican",">=75%","Conservative"
"33","Rehnquist",0,"Liberal","Criminal Procedure",0,1,0,"31-180 Days",1,"Midwest","Trial Court","Republican","Republican","Democrat","Approve","0-65","Northeast","Episcopalian","Caucasian","Republican",">=75%","Liberal"
"34","Rehnquist",0,"Liberal","Criminal Procedure",0,1,0,"31-180 Days",1,"Midwest","Trial Court","Republican","Republican","Democrat","Approve","0-65","South","Catholicism","African American","Republican","<75%","Conservative"
"35","Rehnquist",0,"Liberal","Criminal Procedure",0,1,0,"31-180 Days",1,"Midwest","Trial Court","Republican","Republican","Democrat","Approve","65+","Northeast","Jewish","Caucasian","Democrat",">=75%","Liberal"
"36","Rehnquist",0,"Liberal","Criminal Procedure",0,1,0,"31-180 Days",1,"Midwest","Trial Court","Republican","Republican","Democrat","Approve","0-65","West","Judaism","Caucasian","Democrat",">=75%","Liberal"
"37","Rehnquist",0,"Conservative","Federalism",0,1,0,"31-180 Days",0,"South","District Court","Republican","Republican","Democrat","Approve","65+","Midwest","Lutheran","Caucasian","Republican","<75%","Liberal"
"38","Rehnquist",0,"Conservative","Federalism",0,1,0,"31-180 Days",1,"South","District Court","Republican","Republican","Democrat","Approve","65+","Midwest","Protestant","Caucasian","Republican",">=75%","Liberal"
"39","Rehnquist",0,"Conservative","Federalism",0,1,0,"31-180 Days",0,"South","District Court","Republican","Republican","Democrat","Approve","65+","West","N/A","Caucasian","Republican",">=75%","Liberal"
"40","Rehnquist",0,"Conservative","Federalism",0,1,0,"31-180 Days",1,"South","District Court","Republican","Republican","Democrat","Approve","0-65","Northeast","Catholicism","Caucasian","Republican",">=75%","Liberal"
"41","Rehnquist",0,"Conservative","Federalism",0,1,0,"31-180 Days",1,"South","District Court","Republican","Republican","Democrat","Approve","0-65","West","Catholicism","Caucasian","Republican",">=75%","Liberal"
"42","Rehnquist",0,"Conservative","Federalism",0,1,0,"31-180 Days",1,"South","District Court","Republican","Republican","Democrat","Approve","0-65","Northeast","Episcopalian","Caucasian","Republican",">=75%","Liberal"
"43","Rehnquist",0,"Conservative","Federalism",0,1,0,"31-180 Days",1,"South","District Court","Republican","Republican","Democrat","Approve","0-65","South","Catholicism","African American","Republican","<75%","Liberal"
"44","Rehnquist",0,"Conservative","Federalism",0,1,0,"31-180 Days",1,"South","District Court","Republican","Republican","Democrat","Approve","65+","Northeast","Jewish","Caucasian","Democrat",">=75%","Liberal"
"45","Rehnquist",0,"Conservative","Federalism",0,1,0,"31-180 Days",1,"South","District Court","Republican","Republican","Democrat","Approve","0-65","West","Judaism","Caucasian","Democrat",">=75%","Liberal"
"46","Rehnquist",0,"Conservative","Criminal Procedure",0,1,0,"31-180 Days",0,"West","Trial Court","Republican","Republican","Democrat","Approve","65+","Midwest","Lutheran","Caucasian","Republican","<75%","Conservative"
"47","Rehnquist",0,"Conservative","Criminal Procedure",0,1,0,"31-180 Days",1,"West","Trial Court","Republican","Republican","Democrat","Approve","65+","Midwest","Protestant","Caucasian","Republican",">=75%","Conservative"
"48","Rehnquist",0,"Conservative","Criminal Procedure",0,1,0,"31-180 Days",0,"West","Trial Court","Republican","Republican","Democrat","Approve","65+","West","N/A","Caucasian","Republican",">=75%","Conservative"
"49","Rehnquist",0,"Conservative","Criminal Procedure",0,1,0,"31-180 Days",1,"West","Trial Court","Republican","Republican","Democrat","Approve","0-65","Northeast","Catholicism","Caucasian","Republican",">=75%","Conservative"
"50","Rehnquist",0,"Conservative","Criminal Procedure",0,1,0,"31-180 Days",1,"West","Trial Court","Republican","Republican","Democrat","Approve","0-65","West","Catholicism","Caucasian","Republican",">=75%","Conservative"
"51","Rehnquist",0,"Conservative","Criminal Procedure",0,1,0,"31-180 Days",1,"West","Trial Court","Republican","Republican","Democrat","Approve","0-65","Northeast","Episcopalian","Caucasian","Republican",">=75%","Conservative"
"52","Rehnquist",0,"Conservative","Criminal Procedure",0,1,0,"31-180 Days",1,"West","Trial Court","Republican","Republican","Democrat","Approve","0-65","South","Catholicism","African American","Republican","<75%","Conservative"
"53","Rehnquist",0,"Conservative","Criminal Procedure",0,1,0,"31-180 Days",1,"West","Trial Court","Republican","Republican","Democrat","Approve","65+","Northeast","Jewish","Caucasian","Democrat",">=75%","Conservative"
"54","Rehnquist",0,"Conservative","Criminal Procedure",0,1,0,"31-180 Days",1,"West","Trial Court","Republican","Republican","Democrat","Approve","0-65","West","Judaism","Caucasian","Democrat",">=75%","Conservative"
"55","Rehnquist",0,"Conservative","Judicial Power",0,0,0,"0-30 Days",0,"West","District Court","Republican","Republican","Democrat","Approve","65+","Midwest","Lutheran","Caucasian","Republican","<75%","Liberal"
"56","Rehnquist",0,"Conservative","Judicial Power",0,0,0,"0-30 Days",1,"West","District Court","Republican","Republican","Democrat","Approve","65+","Midwest","Protestant","Caucasian","Republican",">=75%","Liberal"
"57","Rehnquist",0,"Conservative","Judicial Power",0,0,0,"0-30 Days",0,"West","District Court","Republican","Republican","Democrat","Approve","65+","West","N/A","Caucasian","Republican",">=75%","Liberal"
"58","Rehnquist",0,"Conservative","Judicial Power",0,0,0,"0-30 Days",1,"West","District Court","Republican","Republican","Democrat","Approve","0-65","Northeast","Catholicism","Caucasian","Republican",">=75%","Liberal"
"59","Rehnquist",0,"Conservative","Judicial Power",0,0,0,"0-30 Days",1,"West","District Court","Republican","Republican","Democrat","Approve","0-65","West","Catholicism","Caucasian","Republican",">=75%","Liberal"
"60","Rehnquist",0,"Conservative","Judicial Power",0,0,0,"0-30 Days",1,"West","District Court","Republican","Republican","Democrat","Approve","0-65","Northeast","Episcopalian","Caucasian","Republican",">=75%","Liberal"
"61","Rehnquist",0,"Conservative","Judicial Power",0,0,0,"0-30 Days",1,"West","District Court","Republican","Republican","Democrat","Approve","0-65","South","Catholicism","African American","Republican","<75%","Liberal"
"62","Rehnquist",0,"Conservative","Judicial Power",0,0,0,"0-30 Days",1,"West","District Court","Republican","Republican","Democrat","Approve","65+","Northeast","Jewish","Caucasian","Democrat",">=75%","Liberal"
"63","Rehnquist",0,"Conservative","Judicial Power",0,0,0,"0-30 Days",1,"West","District Court","Republican","Republican","Democrat","Approve","0-65","West","Judaism","Caucasian","Democrat",">=75%","Liberal"
"64","Rehnquist",0,"Conservative","Criminal Procedure",0,1,0,"31-180 Days",0,"South","District Court","Republican","Republican","Democrat","Approve","65+","Midwest","Lutheran","Caucasian","Republican","<75%","Conservative"
"65","Rehnquist",0,"Conservative","Criminal Procedure",0,1,0,"31-180 Days",1,"South","District Court","Republican","Republican","Democrat","Approve","65+","Midwest","Protestant","Caucasian","Republican",">=75%","Liberal"
"66","Rehnquist",0,"Conservative","Criminal Procedure",0,1,0,"31-180 Days",0,"South","District Court","Republican","Republican","Democrat","Approve","65+","West","N/A","Caucasian","Republican",">=75%","Conservative"
"67","Rehnquist",0,"Conservative","Criminal Procedure",0,1,0,"31-180 Days",1,"South","District Court","Republican","Republican","Democrat","Approve","0-65","Northeast","Catholicism","Caucasian","Republican",">=75%","Conservative"
"68","Rehnquist",0,"Conservative","Criminal Procedure",0,1,0,"31-180 Days",1,"South","District Court","Republican","Republican","Democrat","Approve","0-65","West","Catholicism","Caucasian","Republican",">=75%","Conservative"
"69","Rehnquist",0,"Conservative","Criminal Procedure",0,1,0,"31-180 Days",1,"South","District Court","Republican","Republican","Democrat","Approve","0-65","Northeast","Episcopalian","Caucasian","Republican",">=75%","Liberal"
"70","Rehnquist",0,"Conservative","Criminal Procedure",0,1,0,"31-180 Days",1,"South","District Court","Republican","Republican","Democrat","Approve","0-65","South","Catholicism","African American","Republican","<75%","Conservative"
"71","Rehnquist",0,"Conservative","Criminal Procedure",0,1,0,"31-180 Days",1,"South","District Court","Republican","Republican","Democrat","Approve","65+","Northeast","Jewish","Caucasian","Democrat",">=75%","Liberal"
"72","Rehnquist",0,"Conservative","Criminal Procedure",0,1,0,"31-180 Days",1,"South","District Court","Republican","Republican","Democrat","Approve","0-65","West","Judaism","Caucasian","Democrat",">=75%","Liberal"
"73","Rehnquist",0,"Conservative","Civil Rights",0,1,0,"31-180 Days",0,"Others","District Court","Republican","Republican","Democrat","Approve","65+","Midwest","Lutheran","Caucasian","Republican","<75%","Liberal"
"74","Rehnquist",0,"Conservative","Civil Rights",0,1,0,"31-180 Days",1,"Others","District Court","Republican","Republican","Democrat","Approve","65+","Midwest","Protestant","Caucasian","Republican",">=75%","Liberal"
"75","Rehnquist",0,"Conservative","Civil Rights",0,1,0,"31-180 Days",0,"Others","District Court","Republican","Republican","Democrat","Approve","65+","West","N/A","Caucasian","Republican",">=75%","Liberal"
"76","Rehnquist",0,"Conservative","Civil Rights",0,1,0,"31-180 Days",1,"Others","District Court","Republican","Republican","Democrat","Approve","0-65","Northeast","Catholicism","Caucasian","Republican",">=75%","Liberal"
"77","Rehnquist",0,"Conservative","Civil Rights",0,1,0,"31-180 Days",1,"Others","District Court","Republican","Republican","Democrat","Approve","0-65","West","Catholicism","Caucasian","Republican",">=75%","Liberal"
"78","Rehnquist",0,"Conservative","Civil Rights",0,1,0,"31-180 Days",1,"Others","District Court","Republican","Republican","Democrat","Approve","0-65","Northeast","Episcopalian","Caucasian","Republican",">=75%","Liberal"
"79","Rehnquist",0,"Conservative","Civil Rights",0,1,0,"31-180 Days",1,"Others","District Court","Republican","Republican","Democrat","Approve","0-65","South","Catholicism","African American","Republican","<75%","Liberal"
"80","Rehnquist",0,"Conservative","Civil Rights",0,1,0,"31-180 Days",1,"Others","District Court","Republican","Republican","Democrat","Approve","65+","Northeast","Jewish","Caucasian","Democrat",">=75%","Liberal"
"81","Rehnquist",0,"Conservative","Civil Rights",0,1,0,"31-180 Days",1,"Others","District Court","Republican","Republican","Democrat","Approve","0-65","West","Judaism","Caucasian","Democrat",">=75%","Liberal"
"82","Rehnquist",0,"Liberal","Civil Rights",0,1,0,"31-180 Days",0,"West","District Court","Republican","Republican","Democrat","Approve","65+","Midwest","Lutheran","Caucasian","Republican","<75%","Conservative"
"83","Rehnquist",0,"Liberal","Civil Rights",0,1,0,"31-180 Days",1,"West","District Court","Republican","Republican","Democrat","Approve","65+","Midwest","Protestant","Caucasian","Republican",">=75%","Liberal"
"84","Rehnquist",0,"Liberal","Civil Rights",0,1,0,"31-180 Days",0,"West","District Court","Republican","Republican","Democrat","Approve","65+","West","N/A","Caucasian","Republican",">=75%","Conservative"
"85","Rehnquist",0,"Liberal","Civil Rights",0,1,0,"31-180 Days",1,"West","District Court","Republican","Republican","Democrat","Approve","0-65","Northeast","Catholicism","Caucasian","Republican",">=75%","Conservative"
"86","Rehnquist",0,"Liberal","Civil Rights",0,1,0,"31-180 Days",1,"West","District Court","Republican","Republican","Democrat","Approve","0-65","West","Catholicism","Caucasian","Republican",">=75%","Conservative"
"87","Rehnquist",0,"Liberal","Civil Rights",0,1,0,"31-180 Days",1,"West","District Court","Republican","Republican","Democrat","Approve","0-65","Northeast","Episcopalian","Caucasian","Republican",">=75%","Liberal"
"88","Rehnquist",0,"Liberal","Civil Rights",0,1,0,"31-180 Days",1,"West","District Court","Republican","Republican","Democrat","Approve","0-65","South","Catholicism","African American","Republican","<75%","Conservative"
"89","Rehnquist",0,"Liberal","Civil Rights",0,1,0,"31-180 Days",1,"West","District Court","Republican","Republican","Democrat","Approve","65+","Northeast","Jewish","Caucasian","Democrat",">=75%","Liberal"
"90","Rehnquist",0,"Liberal","Civil Rights",0,1,0,"31-180 Days",1,"West","District Court","Republican","Republican","Democrat","Approve","0-65","West","Judaism","Caucasian","Democrat",">=75%","Liberal"
"91","Rehnquist",0,"Liberal","Criminal Procedure",0,1,0,"31-180 Days",0,"West","District Court","Republican","Republican","Democrat","Approve","65+","Midwest","Lutheran","Caucasian","Republican","<75%","Conservative"
"92","Rehnquist",0,"Liberal","Criminal Procedure",0,1,0,"31-180 Days",1,"West","District Court","Republican","Republican","Democrat","Approve","65+","Midwest","Protestant","Caucasian","Republican",">=75%","Conservative"
"93","Rehnquist",0,"Liberal","Criminal Procedure",0,1,0,"31-180 Days",0,"West","District Court","Republican","Republican","Democrat","Approve","65+","West","N/A","Caucasian","Republican",">=75%","Conservative"
"94","Rehnquist",0,"Liberal","Criminal Procedure",0,1,0,"31-180 Days",1,"West","District Court","Republican","Republican","Democrat","Approve","0-65","Northeast","Catholicism","Caucasian","Republican",">=75%","Conservative"
"95","Rehnquist",0,"Liberal","Criminal Procedure",0,1,0,"31-180 Days",1,"West","District Court","Republican","Republican","Democrat","Approve","0-65","West","Catholicism","Caucasian","Republican",">=75%","Conservative"
"96","Rehnquist",0,"Liberal","Criminal Procedure",0,1,0,"31-180 Days",1,"West","District Court","Republican","Republican","Democrat","Approve","0-65","Northeast","Episcopalian","Caucasian","Republican",">=75%","Conservative"
"97","Rehnquist",0,"Liberal","Criminal Procedure",0,1,0,"31-180 Days",1,"West","District Court","Republican","Republican","Democrat","Approve","0-65","South","Catholicism","African American","Republican","<75%","Conservative"
"98","Rehnquist",0,"Liberal","Criminal Procedure",0,1,0,"31-180 Days",1,"West","District Court","Republican","Republican","Democrat","Approve","65+","Northeast","Jewish","Caucasian","Democrat",">=75%","Conservative"
"99","Rehnquist",0,"Liberal","Criminal Procedure",0,1,0,"31-180 Days",1,"West","District Court","Republican","Republican","Democrat","Approve","0-65","West","Judaism","Caucasian","Democrat",">=75%","Conservative"
"100","Rehnquist",0,"Conservative","Civil Rights",1,1,1,"181+ Days",0,NA,NA,"Republican","Republican","Democrat","Approve","65+","Midwest","Lutheran","Caucasian","Republican","<75%","Conservative"
"101","Rehnquist",0,"Conservative","Civil Rights",1,1,1,"181+ Days",1,NA,NA,"Republican","Republican","Democrat","Approve","65+","Midwest","Protestant","Caucasian","Republican",">=75%","Liberal"
"102","Rehnquist",0,"Conservative","Civil Rights",1,1,1,"181+ Days",0,NA,NA,"Republican","Republican","Democrat","Approve","65+","West","N/A","Caucasian","Republican",">=75%","Conservative"
"103","Rehnquist",0,"Conservative","Civil Rights",1,1,1,"181+ Days",1,NA,NA,"Republican","Republican","Democrat","Approve","0-65","Northeast","Catholicism","Caucasian","Republican",">=75%","Conservative"
"104","Rehnquist",0,"Conservative","Civil Rights",1,1,1,"181+ Days",1,NA,NA,"Republican","Republican","Democrat","Approve","0-65","West","Catholicism","Caucasian","Republican",">=75%","Conservative"
"105","Rehnquist",0,"Conservative","Civil Rights",1,1,1,"181+ Days",1,NA,NA,"Republican","Republican","Democrat","Approve","0-65","Northeast","Episcopalian","Caucasian","Republican",">=75%","Liberal"
"106","Rehnquist",0,"Conservative","Civil Rights",1,1,1,"181+ Days",1,NA,NA,"Republican","Republican","Democrat","Approve","0-65","South","Catholicism","African American","Republican","<75%","Conservative"
"107","Rehnquist",0,"Conservative","Civil Rights",1,1,1,"181+ Days",1,NA,NA,"Republican","Republican","Democrat","Approve","65+","Northeast","Jewish","Caucasian","Democrat",">=75%","Liberal"
"108","Rehnquist",0,"Conservative","Civil Rights",1,1,1,"181+ Days",1,NA,NA,"Republican","Republican","Democrat","Approve","0-65","West","Judaism","Caucasian","Democrat",">=75%","Liberal"
"109","Rehnquist",0,"Conservative","First Amendment",0,1,0,"31-180 Days",0,"Midwest","District Court","Republican","Republican","Democrat","Approve","65+","Midwest","Lutheran","Caucasian","Republican","<75%","Liberal"
"110","Rehnquist",0,"Conservative","First Amendment",0,1,0,"31-180 Days",1,"Midwest","District Court","Republican","Republican","Democrat","Approve","65+","Midwest","Protestant","Caucasian","Republican",">=75%","Liberal"
"111","Rehnquist",0,"Conservative","First Amendment",0,1,0,"31-180 Days",0,"Midwest","District Court","Republican","Republican","Democrat","Approve","65+","West","N/A","Caucasian","Republican",">=75%","Liberal"
"112","Rehnquist",0,"Conservative","First Amendment",0,1,0,"31-180 Days",1,"Midwest","District Court","Republican","Republican","Democrat","Approve","0-65","Northeast","Catholicism","Caucasian","Republican",">=75%","Conservative"
"113","Rehnquist",0,"Conservative","First Amendment",0,1,0,"31-180 Days",1,"Midwest","District Court","Republican","Republican","Democrat","Approve","0-65","West","Catholicism","Caucasian","Republican",">=75%","Conservative"
"114","Rehnquist",0,"Conservative","First Amendment",0,1,0,"31-180 Days",1,"Midwest","District Court","Republican","Republican","Democrat","Approve","0-65","Northeast","Episcopalian","Caucasian","Republican",">=75%","Liberal"
"115","Rehnquist",0,"Conservative","First Amendment",0,1,0,"31-180 Days",1,"Midwest","District Court","Republican","Republican","Democrat","Approve","0-65","South","Catholicism","African American","Republican","<75%","Conservative"
"116","Rehnquist",0,"Conservative","First Amendment",0,1,0,"31-180 Days",1,"Midwest","District Court","Republican","Republican","Democrat","Approve","65+","Northeast","Jewish","Caucasian","Democrat",">=75%","Liberal"
"117","Rehnquist",0,"Conservative","First Amendment",0,1,0,"31-180 Days",1,"Midwest","District Court","Republican","Republican","Democrat","Approve","0-65","West","Judaism","Caucasian","Democrat",">=75%","Liberal"
"118","Rehnquist",0,"Liberal","Federal Taxation",0,1,0,"31-180 Days",0,NA,NA,"Republican","Republican","Democrat","Approve","65+","Midwest","Lutheran","Caucasian","Republican","<75%","Liberal"
"119","Rehnquist",0,"Liberal","Federal Taxation",0,1,0,"31-180 Days",1,NA,NA,"Republican","Republican","Democrat","Approve","65+","Midwest","Protestant","Caucasian","Republican",">=75%","Liberal"
"120","Rehnquist",0,"Liberal","Federal Taxation",0,1,0,"31-180 Days",0,NA,NA,"Republican","Republican","Democrat","Approve","65+","West","N/A","Caucasian","Republican",">=75%","Liberal"
"121","Rehnquist",0,"Liberal","Federal Taxation",0,1,0,"31-180 Days",1,NA,NA,"Republican","Republican","Democrat","Approve","0-65","Northeast","Catholicism","Caucasian","Republican",">=75%","Liberal"
"122","Rehnquist",0,"Liberal","Federal Taxation",0,1,0,"31-180 Days",1,NA,NA,"Republican","Republican","Democrat","Approve","0-65","West","Catholicism","Caucasian","Republican",">=75%","Liberal"
"123","Rehnquist",0,"Liberal","Federal Taxation",0,1,0,"31-180 Days",1,NA,NA,"Republican","Republican","Democrat","Approve","0-65","Northeast","Episcopalian","Caucasian","Republican",">=75%","Liberal"
"124","Rehnquist",0,"Liberal","Federal Taxation",0,1,0,"31-180 Days",1,NA,NA,"Republican","Republican","Democrat","Approve","0-65","South","Catholicism","African American","Republican","<75%","Liberal"
"125","Rehnquist",0,"Liberal","Federal Taxation",0,1,0,"31-180 Days",1,NA,NA,"Republican","Republican","Democrat","Approve","65+","Northeast","Jewish","Caucasian","Democrat",">=75%","Liberal"
"126","Rehnquist",0,"Liberal","Federal Taxation",0,1,0,"31-180 Days",1,NA,NA,"Republican","Republican","Democrat","Approve","0-65","West","Judaism","Caucasian","Democrat",">=75%","Liberal"
"127","Rehnquist",1,"Conservative","Economic Activity",0,1,0,"31-180 Days",0,"Midwest","District Court","Republican","Republican","Democrat","Approve","65+","Midwest","Lutheran","Caucasian","Republican","<75%","Conservative"
"128","Rehnquist",1,"Conservative","Economic Activity",0,1,0,"31-180 Days",0,"Others","District Court","Republican","Republican","Democrat","Approve","65+","Midwest","Lutheran","Caucasian","Republican","<75%","Conservative"
"129","Rehnquist",1,"Conservative","Economic Activity",0,1,0,"31-180 Days",1,"Midwest","District Court","Republican","Republican","Democrat","Approve","65+","Midwest","Protestant","Caucasian","Republican",">=75%","Conservative"
"130","Rehnquist",1,"Conservative","Economic Activity",0,1,0,"31-180 Days",1,"Others","District Court","Republican","Republican","Democrat","Approve","65+","Midwest","Protestant","Caucasian","Republican",">=75%","Conservative"
"131","Rehnquist",1,"Conservative","Economic Activity",0,1,0,"31-180 Days",0,"Midwest","District Court","Republican","Republican","Democrat","Approve","65+","West","N/A","Caucasian","Republican",">=75%","Conservative"
"132","Rehnquist",1,"Conservative","Economic Activity",0,1,0,"31-180 Days",0,"Others","District Court","Republican","Republican","Democrat","Approve","65+","West","N/A","Caucasian","Republican",">=75%","Conservative"
"133","Rehnquist",1,"Conservative","Economic Activity",0,1,0,"31-180 Days",1,"Midwest","District Court","Republican","Republican","Democrat","Approve","0-65","Northeast","Catholicism","Caucasian","Republican",">=75%","Conservative"
"134","Rehnquist",1,"Conservative","Economic Activity",0,1,0,"31-180 Days",1,"Others","District Court","Republican","Republican","Democrat","Approve","0-65","Northeast","Catholicism","Caucasian","Republican",">=75%","Conservative"
"135","Rehnquist",1,"Conservative","Economic Activity",0,1,0,"31-180 Days",1,"Midwest","District Court","Republican","Republican","Democrat","Approve","0-65","West","Catholicism","Caucasian","Republican",">=75%","Conservative"
