c_chief,c_lcDisagreement,c_lcDispositionDirection,c_issueArea,c_adminActionBool,c_oralArgBool,c_reargBool,c_decisionTime,c_formerCourt,c_caseOriginRegion,c_caseOriginCourt,e_houseMajority,e_senateMajority,e_decisionPresidentParty,e_JCApproval,j_justiceGender,j_justiceDecisionAgeBand,j_justiceRegion,j_justiceReligion,j_justiceEthnicity,j_justicePresidentParty,j_justiceVotesAppointed,direction,yearDecision
Rehnquist,0,Conservative,Civil Rights,0,1,0,31-180 Days,1,Others,District Court,Republican,Republican,Democrat,Approve,Male,0-65,Northeast,Protestant,Caucasian,Republican,>=75%,Liberal,2000
Rehnquist,0,Conservative,Civil Rights,0,1,0,31-180 Days,1,Others,District Court,Republican,Republican,Democrat,Approve,Male,0-65,South,Catholicism,Non-Caucasian,Republican,<75%,Liberal,2000
Rehnquist,0,Conservative,Civil Rights,0,1,0,31-180 Days,1,Others,District Court,Republican,Republican,Democrat,Approve,Female,65+,Northeast,Judaism,Caucasian,Democrat,>=75%,Liberal,2000
Rehnquist,0,Conservative,Civil Rights,0,1,0,31-180 Days,1,Others,District Court,Republican,Republican,Democrat,Approve,Male,0-65,West,Judaism,Caucasian,Democrat,>=75%,Liberal,2000
Rehnquist,0,Liberal,Civil Rights,0,1,0,31-180 Days,0,West,District Court,Republican,Republican,Democrat,Approve,Male,65+,Midwest,Protestant,Caucasian,Republican,<75%,Conservative,2000
Rehnquist,0,Liberal,Civil Rights,0,1,0,31-180 Days,1,West,District Court,Republican,Republican,Democrat,Approve,Male,65+,Midwest,Protestant,Caucasian,Republican,>=75%,Liberal,2000
Rehnquist,0,Liberal,Civil Rights,0,1,0,31-180 Days,0,West,District Court,Republican,Republican,Democrat,Approve,Female,65+,West,Protestant,Caucasian,Republican,>=75%,Conservative,2000
Rehnquist,0,Liberal,Civil Rights,0,1,0,31-180 Days,1,West,District Court,Republican,Republican,Democrat,Approve,Male,0-65,Northeast,Catholicism,Caucasian,Republican,>=75%,Conservative,2000
Rehnquist,0,Liberal,Civil Rights,0,1,0,31-180 Days,1,West,District Court,Republican,Republican,Democrat,Approve,Male,0-65,West,Catholicism,Caucasian,Republican,>=75%,Conservative,2000
Rehnquist,0,Liberal,Civil Rights,0,1,0,31-180 Days,1,West,District Court,Republican,Republican,Democrat,Approve,Male,0-65,Northeast,Protestant,Caucasian,Republican,>=75%,Liberal,2000
Rehnquist,0,Liberal,Civil Rights,0,1,0,31-180 Days,1,West,District Court,Republican,Republican,Democrat,Approve,Male,0-65,South,Catholicism,Non-Caucasian,Republican,<75%,Conservative,2000
Rehnquist,0,Liberal,Civil Rights,0,1,0,31-180 Days,1,West,District Court,Republican,Republican,Democrat,Approve,Female,65+,Northeast,Judaism,Caucasian,Democrat,>=75%,Liberal,2000
Rehnquist,0,Liberal,Civil Rights,0,1,0,31-180 Days,1,West,District Court,Republican,Republican,Democrat,Approve,Male,0-65,West,Judaism,Caucasian,Democrat,>=75%,Liberal,2000
Rehnquist,0,Liberal,Criminal Procedure,0,1,0,31-180 Days,0,West,District Court,Republican,Republican,Democrat,Approve,Male,65+,Midwest,Protestant,Caucasian,Republican,<75%,Conservative,2000
Rehnquist,0,Liberal,Criminal Procedure,0,1,0,31-180 Days,1,West,District Court,Republican,Republican,Democrat,Approve,Male,65+,Midwest,Protestant,Caucasian,Republican,>=75%,Conservative,2000
Rehnquist,0,Liberal,Criminal Procedure,0,1,0,31-180 Days,0,West,District Court,Republican,Republican,Democrat,Approve,Female,65+,West,Protestant,Caucasian,Republican,>=75%,Conservative,2000
Rehnquist,0,Liberal,Criminal Procedure,0,1,0,31-180 Days,1,West,District Court,Republican,Republican,Democrat,Approve,Male,0-65,Northeast,Catholicism,Caucasian,Republican,>=75%,Conservative,2000
Rehnquist,0,Liberal,Criminal Procedure,0,1,0,31-180 Days,1,West,District Court,Republican,Republican,Democrat,Approve,Male,0-65,West,Catholicism,Caucasian,Republican,>=75%,Conservative,2000
Rehnquist,0,Liberal,Criminal Procedure,0,1,0,31-180 Days,1,West,District Court,Republican,Republican,Democrat,Approve,Male,0-65,Northeast,Protestant,Caucasian,Republican,>=75%,Conservative,2000
Rehnquist,0,Liberal,Criminal Procedure,0,1,0,31-180 Days,1,West,District Court,Republican,Republican,Democrat,Approve,Male,0-65,South,Catholicism,Non-Caucasian,Republican,<75%,Conservative,2000
Rehnquist,0,Liberal,Criminal Procedure,0,1,0,31-180 Days,1,West,District Court,Republican,Republican,Democrat,Approve,Female,65+,Northeast,Judaism,Caucasian,Democrat,>=75%,Conservative,2000
Rehnquist,0,Liberal,Criminal Procedure,0,1,0,31-180 Days,1,West,District Court,Republican,Republican,Democrat,Approve,Male,0-65,West,Judaism,Caucasian,Democrat,>=75%,Conservative,2000
Rehnquist,0,Conservative,Civil Rights,1,1,1,181+ Days,0,NA,NA,Republican,Republican,Democrat,Approve,Male,65+,Midwest,Protestant,Caucasian,Republican,<75%,Conservative,2000
Rehnquist,0,Conservative,Civil Rights,1,1,1,181+ Days,1,NA,NA,Republican,Republican,Democrat,Approve,Male,65+,Midwest,Protestant,Caucasian,Republican,>=75%,Liberal,2000
Rehnquist,0,Conservative,Civil Rights,1,1,1,181+ Days,0,NA,NA,Republican,Republican,Democrat,Approve,Female,65+,West,Protestant,Caucasian,Republican,>=75%,Conservative,2000
Rehnquist,0,Conservative,Civil Rights,1,1,1,181+ Days,1,NA,NA,Republican,Republican,Democrat,Approve,Male,0-65,Northeast,Catholicism,Caucasian,Republican,>=75%,Conservative,2000
Rehnquist,0,Conservative,Civil Rights,1,1,1,181+ Days,1,NA,NA,Republican,Republican,Democrat,Approve,Male,0-65,West,Catholicism,Caucasian,Republican,>=75%,Conservative,2000
Rehnquist,0,Conservative,Civil Rights,1,1,1,181+ Days,1,NA,NA,Republican,Republican,Democrat,Approve,Male,0-65,Northeast,Protestant,Caucasian,Republican,>=75%,Liberal,2000
Rehnquist,0,Conservative,Civil Rights,1,1,1,181+ Days,1,NA,NA,Republican,Republican,Democrat,Approve,Male,0-65,South,Catholicism,Non-Caucasian,Republican,<75%,Conservative,2000
Rehnquist,0,Conservative,Civil Rights,1,1,1,181+ Days,1,NA,NA,Republican,Republican,Democrat,Approve,Female,65+,Northeast,Judaism,Caucasian,Democrat,>=75%,Liberal,2000
Rehnquist,0,Conservative,Civil Rights,1,1,1,181+ Days,1,NA,NA,Republican,Republican,Democrat,Approve,Male,0-65,West,Judaism,Caucasian,Democrat,>=75%,Liberal,2000
Rehnquist,0,Conservative,First Amendment,0,1,0,31-180 Days,0,Midwest,District Court,Republican,Republican,Democrat,Approve,Male,65+,Midwest,Protestant,Caucasian,Republican,<75%,Liberal,2000
Rehnquist,0,Conservative,First Amendment,0,1,0,31-180 Days,1,Midwest,District Court,Republican,Republican,Democrat,Approve,Male,65+,Midwest,Protestant,Caucasian,Republican,>=75%,Liberal,2000
Rehnquist,0,Conservative,First Amendment,0,1,0,31-180 Days,0,Midwest,District Court,Republican,Republican,Democrat,Approve,Female,65+,West,Protestant,Caucasian,Republican,>=75%,Liberal,2000
Rehnquist,0,Conservative,First Amendment,0,1,0,31-180 Days,1,Midwest,District Court,Republican,Republican,Democrat,Approve,Male,0-65,Northeast,Catholicism,Caucasian,Republican,>=75%,Conservative,2000
Rehnquist,0,Conservative,First Amendment,0,1,0,31-180 Days,1,Midwest,District Court,Republican,Republican,Democrat,Approve,Male,0-65,West,Catholicism,Caucasian,Republican,>=75%,Conservative,2000
Rehnquist,0,Conservative,First Amendment,0,1,0,31-180 Days,1,Midwest,District Court,Republican,Republican,Democrat,Approve,Male,0-65,Northeast,Protestant,Caucasian,Republican,>=75%,Liberal,2000
Rehnquist,0,Conservative,First Amendment,0,1,0,31-180 Days,1,Midwest,District Court,Republican,Republican,Democrat,Approve,Male,0-65,South,Catholicism,Non-Caucasian,Republican,<75%,Conservative,2000
Rehnquist,0,Conservative,First Amendment,0,1,0,31-180 Days,1,Midwest,District Court,Republican,Republican,Democrat,Approve,Female,65+,Northeast,Judaism,Caucasian,Democrat,>=75%,Liberal,2000
Rehnquist,0,Conservative,First Amendment,0,1,0,31-180 Days,1,Midwest,District Court,Republican,Republican,Democrat,Approve,Male,0-65,West,Judaism,Caucasian,Democrat,>=75%,Liberal,2000
Rehnquist,0,Liberal,Federal Taxation,0,1,0,31-180 Days,0,NA,NA,Republican,Republican,Democrat,Approve,Male,65+,Midwest,Protestant,Caucasian,Republican,<75%,Liberal,2000
Rehnquist,0,Liberal,Federal Taxation,0,1,0,31-180 Days,1,NA,NA,Republican,Republican,Democrat,Approve,Male,65+,Midwest,Protestant,Caucasian,Republican,>=75%,Liberal,2000
Rehnquist,0,Liberal,Federal Taxation,0,1,0,31-180 Days,0,NA,NA,Republican,Republican,Democrat,Approve,Female,65+,West,Protestant,Caucasian,Republican,>=75%,Liberal,2000
Rehnquist,0,Liberal,Federal Taxation,0,1,0,31-180 Days,1,NA,NA,Republican,Republican,Democrat,Approve,Male,0-65,Northeast,Catholicism,Caucasian,Republican,>=75%,Liberal,2000
Rehnquist,0,Liberal,Federal Taxation,0,1,0,31-180 Days,1,NA,NA,Republican,Republican,Democrat,Approve,Male,0-65,West,Catholicism,Caucasian,Republican,>=75%,Liberal,2000
Rehnquist,0,Liberal,Federal Taxation,0,1,0,31-180 Days,1,NA,NA,Republican,Republican,Democrat,Approve,Male,0-65,Northeast,Protestant,Caucasian,Republican,>=75%,Liberal,2000
Rehnquist,0,Liberal,Federal Taxation,0,1,0,31-180 Days,1,NA,NA,Republican,Republican,Democrat,Approve,Male,0-65,South,Catholicism,Non-Caucasian,Republican,<75%,Liberal,2000
Rehnquist,0,Liberal,Federal Taxation,0,1,0,31-180 Days,1,NA,NA,Republican,Republican,Democrat,Approve,Female,65+,Northeast,Judaism,Caucasian,Democrat,>=75%,Liberal,2000
Rehnquist,0,Liberal,Federal Taxation,0,1,0,31-180 Days,1,NA,NA,Republican,Republican,Democrat,Approve,Male,0-65,West,Judaism,Caucasian,Democrat,>=75%,Liberal,2000
Rehnquist,1,Conservative,Economic Activity,0,1,0,31-180 Days,0,Midwest,District Court,Republican,Republican,Democrat,Approve,Male,65+,Midwest,Protestant,Caucasian,Republican,<75%,Conservative,2000
Rehnquist,1,Conservative,Economic Activity,0,1,0,31-180 Days,0,Others,District Court,Republican,Republican,Democrat,Approve,Male,65+,Midwest,Protestant,Caucasian,Republican,<75%,Conservative,2000
Rehnquist,1,Conservative,Economic Activity,0,1,0,31-180 Days,1,Midwest,District Court,Republican,Republican,Democrat,Approve,Male,65+,Midwest,Protestant,Caucasian,Republican,>=75%,Conservative,2000
Rehnquist,1,Conservative,Economic Activity,0,1,0,31-180 Days,1,Others,District Court,Republican,Republican,Democrat,Approve,Male,65+,Midwest,Protestant,Caucasian,Republican,>=75%,Conservative,2000
Rehnquist,1,Conservative,Economic Activity,0,1,0,31-180 Days,0,Midwest,District Court,Republican,Republican,Democrat,Approve,Female,65+,West,Protestant,Caucasian,Republican,>=75%,Conservative,2000
Rehnquist,1,Conservative,Economic Activity,0,1,0,31-180 Days,0,Others,District Court,Republican,Republican,Democrat,Approve,Female,65+,West,Protestant,Caucasian,Republican,>=75%,Conservative,2000
Rehnquist,1,Conservative,Economic Activity,0,1,0,31-180 Days,1,Midwest,District Court,Republican,Republican,Democrat,Approve,Male,0-65,Northeast,Catholicism,Caucasian,Republican,>=75%,Conservative,2000
Rehnquist,1,Conservative,Economic Activity,0,1,0,31-180 Days,1,Others,District Court,Republican,Republican,Democrat,Approve,Male,0-65,Northeast,Catholicism,Caucasian,Republican,>=75%,Conservative,2000
Rehnquist,1,Conservative,Economic Activity,0,1,0,31-180 Days,1,Midwest,District Court,Republican,Republican,Democrat,Approve,Male,0-65,West,Catholicism,Caucasian,Republican,>=75%,Conservative,2000
Rehnquist,1,Conservative,Economic Activity,0,1,0,31-180 Days,1,Others,District Court,Republican,Republican,Democrat,Approve,Male,0-65,West,Catholicism,Caucasian,Republican,>=75%,Conservative,2000
